TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7031666","Flesh & Blood TCG","Outsiders","Amplifying Arrow","","OUT100","Majestic","Near Mint","0.62","","1.3900","0.4000","0","0","0.6100",""
"7030490","Flesh & Blood TCG","Outsiders","Back Heel Kick (Blue)","","OUT067","Common","Near Mint","0.20","","1.0400","0.0500","9","0","0.1200",""
"7030425","Flesh & Blood TCG","Outsiders","Back Heel Kick (Red)","","OUT065","Common","Near Mint","0.17","","1.0500","0.0600","9","0","0.1100",""
"7030445","Flesh & Blood TCG","Outsiders","Back Heel Kick (Yellow)","","OUT066","Common","Near Mint","0.14","","1.0400","0.0500","8","0","0.0900",""
"7030450","Flesh & Blood TCG","Outsiders","Back Heel Kick (Yellow)","","OUT066","Common","Near Mint Rainbow Foil","0.11","","1.0400","0.0500","2","0","0.0700",""
"7020960","Flesh & Blood TCG","Outsiders","Back Stab (Blue)","","OUT017","Rare","Near Mint","0.15","","1.0600","0.0700","3","0","0.1200",""
"7018971","Flesh & Blood TCG","Outsiders","Back Stab (Red)","","OUT015","Rare","Near Mint","0.15","","1.0600","0.0700","3","0","0.1000",""
"7039515","Flesh & Blood TCG","Outsiders","Back Stab (Red)","","OUT015","Rare","Near Mint Rainbow Foil","0.94","","1.5900","0.6000","1","0","0.7900",""
"7020955","Flesh & Blood TCG","Outsiders","Back Stab (Yellow)","","OUT016","Rare","Near Mint","0.21","","1.0700","0.0800","3","0","0.1400",""
"7031691","Flesh & Blood TCG","Outsiders","Barbed Undertow","","OUT101","Majestic","Near Mint","1.65","","2.3900","1.4000","0","0","1.7900",""
"7031696","Flesh & Blood TCG","Outsiders","Barbed Undertow","","OUT101","Majestic","Near Mint Rainbow Foil","5.29","","4.7400","3.7500","1","0","5.5400",""
"7021260","Flesh & Blood TCG","Outsiders","Be Like Water (Blue)","","OUT070","Common","Near Mint","0.15","","1.0400","0.0500","9","0","0.1100",""
"7021240","Flesh & Blood TCG","Outsiders","Be Like Water (Red)","","OUT068","Common","Near Mint","0.14","","1.0500","0.0600","5","0","0.1000",""
"7039500","Flesh & Blood TCG","Outsiders","Be Like Water (Red)","","OUT068","Common","Near Mint Rainbow Foil","0.43","","1.2800","0.2900","1","0","0.2900",""
"7021250","Flesh & Blood TCG","Outsiders","Be Like Water (Yellow)","","OUT069","Common","Near Mint","0.17","","1.0200","0.0300","8","0","0.1200",""
"7039505","Flesh & Blood TCG","Outsiders","Be Like Water (Yellow)","","OUT069","Common","Near Mint Rainbow Foil","0.22","","1.0900","0.1000","1","0","0.1700",""
"7030360","Flesh & Blood TCG","Outsiders","Blade Cuff","","OUT141","Common","Near Mint","0.14","","1.0600","0.0700","8","0","0.1100",""
"7030500","Flesh & Blood TCG","Outsiders","Bleed Out (Blue)","","OUT147","Rare","Near Mint","0.19","","1.0500","0.0600","3","0","0.1300",""
"7030455","Flesh & Blood TCG","Outsiders","Bleed Out (Red)","","OUT145","Rare","Near Mint","0.18","","1.0600","0.0700","4","0","0.1300",""
"7030480","Flesh & Blood TCG","Outsiders","Bleed Out (Yellow)","","OUT146","Rare","Near Mint","0.23","","1.0600","0.0700","4","0","0.1500",""
"7030966","Flesh & Blood TCG","Outsiders","Bloodrot Trap (Red)","","OUT171","Common","Near Mint","0.16","","1.0500","0.0600","7","0","0.1100",""
"7022123","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Blue)","","OUT058","Rare","Near Mint","0.17","","1.0600","0.0700","3","0","0.1300",""
"7031756","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Blue)","","OUT058","Rare","Near Mint Rainbow Foil","1.19","","1.1700","0.1800","2","0","0.8400",""
"7022113","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Red)","","OUT056","Rare","Near Mint","0.14","","1.0700","0.0800","4","0","0.1300",""
"7031746","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Red)","","OUT056","Rare","Near Mint Rainbow Foil","0.92","","1.7100","0.7200","1","0","0.8600",""
"7022118","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Yellow)","","OUT057","Rare","Near Mint","0.14","","1.0600","0.0700","4","0","0.1100",""
"7031751","Flesh & Blood TCG","Outsiders","Bonds of Ancestry (Yellow)","","OUT057","Rare","Near Mint Rainbow Foil","0.87","","1.2300","0.2400","1","0","0.7200",""
"7031806","Flesh & Blood TCG","Outsiders","Boulder Trap (Yellow)","","OUT106","Rare","Near Mint","0.21","","1.0600","0.0700","3","0","0.1400",""
"7032091","Flesh & Blood TCG","Outsiders","Brush Off (Blue)","","OUT230","Common","Near Mint","0.14","","1.0200","0.0300","10","0","0.0900",""
"7032096","Flesh & Blood TCG","Outsiders","Brush Off (Blue)","","OUT230","Common","Near Mint Rainbow Foil","0.49","","1.1700","0.1800","1","0","0.2600",""
