Month of Date Ordered,Order Number,Seller Name,Entity Name,State,Seller Order Status,Pickup Status,Product Line,Set Name,Product Name,Quantity,Is Direct Order,Is Pro Order,Unit Price,Order Item Total (USD),Order Subtotal (USD),Seller Shipping (USD),Order Total (USD),Seller Total With Tax,Direct Shipping Tax (USD),Direct Shipping (USD),Total Direct Fees,Order Subtotal (USD),Order Shipping (USD),Order TCG Tax (USD),Seller TCG Tax (USD),Order Total (USD)
Jul-21,D63F089C-09E500-786AD,Virshs Store,Virshs Store,Texas,Full Refund,,Magic,Adventures in the Forgotten Realms,Treasure Vault,1,FALSE,FALSE,$6.00 ,$6.00 ,$160.49 ,$0.99 ,$171.19 ,$171.77 ,,,,$160.49 ,$10.70 ,$14.12 ,$0.58 ,$171.19 
Jul-21,D63F089C-1AA58F-FF1A5,Virshs Store,Virshs Store,Indiana,Complete,,Magic,Magic 2013 (M13),Glacial Fortress,1,FALSE,FALSE,$3.99 ,$3.99 ,$133.22 ,$0.99 ,$148.44 ,$148.79 ,$0.14 ,$1.99 ,$2.13 ,$133.22 ,$15.22 ,$10.39 ,$0.35 ,$148.44 
Jul-21,D63F089C-291E8D-24FDB,Virshs Store,Virshs Store,North Carolina,Complete,,Magic,Adventures in the Forgotten Realms,"Zariel, Archduke of Avernus",1,FALSE,FALSE,$2.28 ,$2.28 ,$2.28 ,$0.99 ,$3.27 ,$3.49 ,,,,$2.28 ,$0.99 ,$0.22 ,$0.22 ,$3.27 
Jul-21,D63F089C-32C4C7-53333,Virshs Store,Virshs Store,Louisiana,Full Refund,,Magic,Shadows over Innistrad,Thing in the Ice,1,FALSE,FALSE,$3.90 ,$3.90 ,$9.40 ,$0.99 ,$11.38 ,$11.87 ,,,,$9.40 ,$1.98 ,$1.14 ,$0.49 ,$11.38 
Jul-21,D63F089C-3796DF-635B5,Virshs Store,Virshs Store,Illinois,Complete,,Magic,Commander 2014,"Emeria, the Sky Ruin",1,FALSE,FALSE,$9.00 ,$9.00 ,$144.89 ,$0.99 ,$151.72 ,$152.28 ,$0.00 ,$0.00 ,$0.00 ,$144.89 ,$6.83 ,$9.05 ,$0.56 ,$151.72 
Jul-21,D63F089C-38AB29-42304,Virshs Store,Virshs Store,Virginia,Complete,,Magic,Journey Into Nyx,Dictate of Erebos,1,FALSE,FALSE,$11.50 ,$11.50 ,$53.39 ,$0.99 ,$58.14 ,$58.89 ,$0.12 ,$1.99 ,$2.11 ,$53.39 ,$4.75 ,$3.49 ,$0.75 ,$58.14 
Jul-21,D63F089C-3B8684-2C6FF,Virshs Store,Virshs Store,Alaska,Complete,,Magic,Unique and Miscellaneous Promos,Hero's Downfall,1,FALSE,FALSE,$1.99 ,$1.99 ,$37.09 ,$0.99 ,$40.85 ,$40.85 ,$0.00 ,$1.99 ,$1.99 ,$37.09 ,$3.76 ,$0.00 ,$0.00 ,$40.85 
Jul-21,D63F089C-4CBB8D-6D50C,Virshs Store,Virshs Store,Wyoming,Complete,,Magic,Commander 2014,"Nahiri, the Lithomancer",1,FALSE,FALSE,$6.99 ,$6.99 ,$364.69 ,$0.99 ,$385.18 ,$385.60 ,,,,$364.69 ,$20.49 ,$21.92 ,$0.42 ,$385.18 
Jul-21,D63F089C-51A450-A1384,Virshs Store,Virshs Store,North Carolina,Complete,,Magic,Aether Revolt,Hope of Ghirapur,1,FALSE,FALSE,$0.79 ,$0.79 ,$29.81 ,$0.99 ,$35.34 ,$35.47 ,$0.14 ,$1.99 ,$2.13 ,$29.81 ,$5.53 ,$2.47 ,$0.13 ,$35.34 
Jul-21,D63F089C-65D980-34E92,Virshs Store,Virshs Store,California,Complete,,Magic,Commander 2016,Chromatic Lantern,1,FALSE,FALSE,$8.49 ,$8.49 ,$20.22 ,$0.99 ,$29.29 ,$30.26 ,$0.20 ,$1.99 ,$2.19 ,$20.22 ,$9.07 ,$2.99 ,$0.97 ,$29.29 
