Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date
"Magic","Animist's Might","Near Mint","20","March of the Machine: The Aftermath","U","2","","5/12/2023 12:00:00 AM"
"Magic","Animist's Might (Retro Frame)","Near Mint","70","March of the Machine: The Aftermath","U","1","","5/12/2023 12:00:00 AM"
"Magic","Arni Metalbrow","Near Mint","16","March of the Machine: The Aftermath","R","4","","5/12/2023 12:00:00 AM"
"Magic","Arni Metalbrow (Extended Art)","Near Mint","159","March of the Machine: The Aftermath","R","2","","5/12/2023 12:00:00 AM"
"Magic","Arni Metalbrow (Showcase)","Near Mint","66","March of the Machine: The Aftermath","R","1","","5/12/2023 12:00:00 AM"
"Magic","Ayara's Oathsworn","Near Mint","11","March of the Machine: The Aftermath","R","5","","5/12/2023 12:00:00 AM"
"Magic","Ayara's Oathsworn (Extended Art)","Near Mint","157","March of the Machine: The Aftermath","R","2","","5/12/2023 12:00:00 AM"
"Magic","Blot Out","Near Mint","12","March of the Machine: The Aftermath","U","10","","5/12/2023 12:00:00 AM"
"Magic","Calix, Guided by Fate","Near Mint","26","March of the Machine: The Aftermath","M","1","","5/12/2023 12:00:00 AM"
"Magic","Campus Renovation","Near Mint","27","March of the Machine: The Aftermath","U","10","","5/12/2023 12:00:00 AM"
"Magic","Campus Renovation (Showcase)","Near Mint","77","March of the Machine: The Aftermath","U","3","","5/12/2023 12:00:00 AM"
"Magic","Coppercoat Vanguard","Near Mint","1","March of the Machine: The Aftermath","U","12","","5/12/2023 12:00:00 AM"
"Magic","Coppercoat Vanguard (Showcase)","Near Mint","51","March of the Machine: The Aftermath","U","6","","5/12/2023 12:00:00 AM"
"Magic","Cosmic Rebirth","Near Mint","28","March of the Machine: The Aftermath","U","15","","5/12/2023 12:00:00 AM"
"Magic","Cosmic Rebirth (Showcase)","Near Mint","78","March of the Machine: The Aftermath","U","4","","5/12/2023 12:00:00 AM"
"Magic","Danitha, New Benalia's Light","Near Mint","29","March of the Machine: The Aftermath","R","4","","5/12/2023 12:00:00 AM"
"Magic","Danitha, New Benalia's Light (Extended Art)","Near Mint","166","March of the Machine: The Aftermath","R","1","","5/12/2023 12:00:00 AM"
"Magic","Death-Rattle Oni","Near Mint","13","March of the Machine: The Aftermath","U","19","","5/12/2023 12:00:00 AM"
"Magic","Deification","Near Mint","2","March of the Machine: The Aftermath","R","4","","5/12/2023 12:00:00 AM"
"Magic","Deification (Extended Art)","Near Mint","151","March of the Machine: The Aftermath","R","3","","5/12/2023 12:00:00 AM"
"Magic","Deification (Showcase)","Near Mint","52","March of the Machine: The Aftermath","R","1","","5/12/2023 12:00:00 AM"
"Magic","Drannith Ruins","Near Mint","50","March of the Machine: The Aftermath","R","5","","5/12/2023 12:00:00 AM"
"Magic","Drannith Ruins (Extended Art)","Near Mint","185","March of the Machine: The Aftermath","R","4","","5/12/2023 12:00:00 AM"
"Magic","Feast of the Victorious Dead","Near Mint","30","March of the Machine: The Aftermath","U","9","","5/12/2023 12:00:00 AM"
"Magic","Feast of the Victorious Dead (Showcase)","Near Mint","80","March of the Machine: The Aftermath","U","2","","5/12/2023 12:00:00 AM"
"Magic","Filter Out","Near Mint","7","March of the Machine: The Aftermath","U","20","","5/12/2023 12:00:00 AM"
"Magic","Filter Out (Showcase)","Near Mint","57","March of the Machine: The Aftermath","U","8","","5/12/2023 12:00:00 AM"
"Magic","Gold-Forged Thopteryx","Near Mint","31","March of the Machine: The Aftermath","U","1","","5/12/2023 12:00:00 AM"
"Magic","Gold-Forged Thopteryx (Showcase)","Near Mint","81","March of the Machine: The Aftermath","U","2","","5/12/2023 12:00:00 AM"
